,polygon_id,icesat_canopy_mean,icesat_canopy_min,icesat_canopy_max,icesat_canopy_std,icesat_canopy_uncertainty_mean,icesat_canopy_uncertainty_min,icesat_canopy_uncertainty_max,icesat_canopy_uncertainty_std,satellite,elevation_mean,elevation_min,elevation_max,elevation_std,gedi_canopy_mean,gedi_canopy_min,gedi_canopy_max,gedi_canopy_std,mean_diff,max_diff,min_diff,std_diff,percent_diff
40,121,7.831977,4.9719524,9.358849,1.5860522,0.20122206,0.14885795,0.2966368,0.046287153,Icesat,23.145119,21.425165,27.853127,0.69858336,5.0303335,2.32,11.65,2.14105,2.8016434,-2.291151,2.6519525,-0.5549979,43.56361
49,167,8.436411,5.9628105,10.910011,3.4981992,0.28931156,0.20860896,0.37001416,0.11413071,Icesat,24.39693,24.359856,24.434006,0.052432027,11.42,9.47,13.37,2.7577162,-2.9835892,-2.4599886,-3.5071898,0.74048305,30.051645
